title,city,model_year,mileage,fuel_type,engine_size,transmission,feature_lst,price,update,image
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 Beige Interior for Sale,Gujranwala,2022,"12,000 km",Petrol,1800 cc,Automatic,Not Featured,PKR 75 lacs,Updated about 4 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 9th Generation 2007 GLi 1.3 for Sale,Nowshera,2007,"199,000 km",Petrol,1300 cc,Manual,FEATURED,PKR 16.1 lacs,Updated about 4 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2021 Altis X Automatic 1.6 for Sale,Islamabad,2021,"35,000 km",Petrol,1600 cc,Automatic,Not Featured,PKR 62 lacs,Updated about 4 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 1986 DX Saloon for Sale,Mandra,1986,"127,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 3.8 lacs,Updated about 4 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2008 XLi for Sale,Guddu,2008,150 km,Petrol,1300 cc,Manual,FEATURED,PKR 13 lacs,Updated about 4 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis 1.6 X CVT-i for Sale,Islamabad,2022,500 km,Petrol,1598 cc,Automatic,FEATURED,PKR 62.5 lacs,Updated about 4 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2021 Altis X Automatic 1.6 for Sale,Karachi,2021,"17,700 km",Petrol,1598 cc,Automatic,FEATURED,PKR 55 lacs,Updated about 4 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2014 GLi 1.3 VVTi for Sale,Rawalpindi,2014,"190,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 30 lacs,Updated about 4 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 1997 GLi 1.6 for Sale,Khushab,1997,"85,000 km",Petrol,1600 cc,Manual,FEATURED,PKR 14.5 lacs,Updated about 4 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2021 Altis Grande X CVT-i 1.8 Black Interior for Sale,Peshawar,2021,"7,000 km",Petrol,1798 cc,Automatic,FEATURED,PKR 70.8 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis Automatic 1.6 for Sale,Jhelum,2022,50 km,Petrol,1600 cc,Automatic,FEATURED,PKR 63.95 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2016 Altis Grande CVT-i 1.8 for Sale,Lahore,2016,"73,118 km",Petrol,1800 cc,Automatic,Not Featured,PKR 39 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,D.G.Khan,2022,"5,100 km",Petrol,1800 cc,Automatic,Not Featured,PKR 77.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,Islamabad,2022,"14,359 km",Petrol,1800 cc,Automatic,FEATURED,PKR 78 lacs,Updated 1 day ago,https://cache1.pakwheels.com/ad_pictures/8042/tn_toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2022-80426640.webp
Toyota Corolla 2019 Altis Automatic 1.6 for Sale,Lahore,2019,"43,000 km",Petrol,1600 cc,Automatic,FEATURED,PKR 50 lacs,Updated 1 day ago,https://cache2.pakwheels.com/ad_pictures/8076/tn_toyota-corolla-altis-1-6-automatic-2019-80769229.webp
Toyota Corolla 2010 Altis SR 1.8 for Sale,Lahore,2010,"130,000 km",Petrol,1800 cc,Manual,FEATURED,PKR 23 lacs,Updated 1 day ago,https://cache4.pakwheels.com/ad_pictures/8071/tn_toyota-corolla-altis-1-8-sr-2010-80712221.webp
Toyota Corolla 2019 Altis 1.6 X CVT-i for Sale,Karachi,2019,"9,000 km",Petrol,1600 cc,Automatic,FEATURED,PKR 49.5 lacs,Updated 1 day ago,https://cache3.pakwheels.com/ad_pictures/8083/tn_toyota-corolla-altis-1-6-x-cvt-i-2019-80831793.webp
Toyota Corolla 2019 GLi Automatic 1.3 VVTi for Sale,Islamabad,2019,"106,000 km",Petrol,1300 cc,Automatic,FEATURED,PKR 42 lacs,Updated 1 day ago,https://cache3.pakwheels.com/ad_pictures/7990/tn_toyota-corolla-gli-vvti-automatic-2019-79902352.webp
Toyota Corolla Axio 2006 Luxel 1.8 for Sale,Islamabad,2006,"170,345 km",Petrol,1800 cc,Automatic,FEATURED,PKR 32 lacs,Updated 1 day ago,https://cache4.pakwheels.com/ad_pictures/8042/tn_toyota-corolla-axio-1-8-luxel-2006-80427169.webp
Toyota Corolla 2021 Altis 1.6 X CVT-i for Sale,Multan,2021,"16,000 km",Petrol,1600 cc,Automatic,Not Featured,PKR 56.5 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis 1.6 X CVT-i Special Edition for Sale,Karachi,2022,40 km,Petrol,1600 cc,Automatic,Not Featured,PKR 72.7 lacs,,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2023 Altis Grande X CVT-i 1.8 Black Interior for Sale,Lahore,2023,25 km,Petrol,1800 cc,Automatic,Not Featured,PKR 83.5 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2023 Altis 1.6 X CVT-i Special Edition for Sale,Lahore,2023,25 km,Petrol,1600 cc,Automatic,Not Featured,PKR 74.5 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2023 Altis Grande X CVT-i 1.8 Beige Interior for Sale,Karachi,2023,60 km,Petrol,1800 cc,Automatic,Not Featured,PKR 77 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2023 Altis X Automatic 1.6 Special Edition for Sale,Karachi,2023,44 km,Petrol,0.0 kWh,Automatic,Not Featured,PKR 74.75 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2013 XLi VVTi for Sale,Islamabad,2013,"135,600 km",Petrol,1300 cc,Manual,Not Featured,PKR 24 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis 1.6 X CVT-i Special Edition for Sale,Lahore,2022,"9,000 km",Petrol,1600 cc,Automatic,Not Featured,PKR 68 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla Fielder 2015 Hybrid G for Sale,Karachi,2015,"99,593 km",Petrol,1500 cc,Automatic,Not Featured,PKR 45.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2010 GLi 1.3 VVTi for Sale,Nowshera,2010,"150,000 km",Petrol,1300 cc,Manual,FEATURED,PKR 19 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2018 GLi 1.3 VVTi for Sale,Karachi,2018,"50,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 35 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2015 XLi VVTi for Sale,Vehari,2015,"160,000 km",Petrol,1300 cc,Manual,FEATURED,PKR 24.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2013 XLi VVTi for Sale,Lahore,2013,"82,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 24.3 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2009 Altis 1.6 for Sale,Nowshera,2009,"150,000 km",Petrol,1600 cc,Manual,Not Featured,PKR 20.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 9th Generation 2007 GLi 1.3 for Sale,Sheikhupura,2007,"257,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 16.75 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2016 XLi VVTi for Sale,Sialkot,2016,"117,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 27.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2014 Altis Grande X CVT-i 1.8 Beige Interior for Sale,Islamabad,2014,"120,000 km",Petrol,1800 cc,Automatic,Not Featured,PKR 32 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 1994 XE-G for Sale,Kamra,1994,"150,000 km",Petrol,1500 cc,Manual,Not Featured,PKR 9.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2018 GLi 1.3 VVTi for Sale,Sukkur,2018,"34,095 km",Petrol,1300 cc,Manual,Not Featured,PKR 38.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2013 GLi 1.3 VVTi for Sale,Lahore,2013,123 km,Petrol,1300 cc,Manual,Not Featured,PKR 22.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2014 GLi 1.3 VVTi for Sale,Lahore,2014,"159,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 26 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2014 XLi VVTi for Sale,Islamabad,2014,"99,800 km",Petrol,1300 cc,Manual,Not Featured,PKR 25.25 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2012 GLi Automatic 1.6 VVTi for Sale,Rawalpindi,2012,"94,000 km",Petrol,1600 cc,Automatic,Not Featured,PKR 24 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2016 Altis Grande CVT-i 1.8 for Sale,Swat,2016,"98,000 km",Petrol,1798 cc,Automatic,Not Featured,PKR 42.8 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2015 Altis CVT-i 1.8 for Sale,Islamabad,2015,14 km,Petrol,1800 cc,Automatic,FEATURED,PKR 38.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2015 Altis Grande CVT-i 1.8 for Sale,Lahore,2015,"106,000 km",Petrol,1800 cc,Automatic,Not Featured,PKR 40.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2011 GLi 1.3 VVTi for Sale,Peshawar,2011,"172,000 km",Petrol,1300 cc,Manual,FEATURED,PKR 23 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2023 Altis 1.6 X CVT-i Special Edition for Sale,Lahore,2023,15 km,Petrol,1600 cc,Automatic,FEATURED,PKR 75.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 9th Generation 2005 SE Saloon for Sale,Mirpur A.K.,2005,"150,000 km",Petrol,1600 cc,Manual,FEATURED,PKR 16.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2023 Altis X Automatic 1.6 for Sale,Lahore,2023,10 km,Petrol,1598 cc,Automatic,Not Featured,PKR 70 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2019 XLi Automatic for Sale,Faisalabad,2019,"100,000 km",Petrol,1300 cc,Automatic,FEATURED,PKR 42 lacs,Updated about 5 hours ago,https://cache1.pakwheels.com/ad_pictures/8023/tn_toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2023-80238706.webp
Toyota Corolla 2023 Altis Grande X CVT-i 1.8 Beige Interior for Sale,Karachi,2023,50 km,Petrol,0.0 kWh,Automatic,FEATURED,PKR 80 lacs,Updated 1 day ago,https://cache3.pakwheels.com/ad_pictures/7863/tn_toyota-corolla-gli-vvti-automatic-2018-78638083.webp
Toyota Corolla 2018 GLi Automatic 1.3 VVTi for Sale,Lahore,2018,"155,474 km",Petrol,1300 cc,Automatic,FEATURED,PKR 36 lacs,Updated 1 day ago,https://cache4.pakwheels.com/ad_pictures/7925/tn_toyota-corolla-gli-vvti-automatic-2019-79256599.webp
Toyota Corolla 2019 GLi Automatic 1.3 VVTi for Sale,Karachi,2019,"42,366 km",Petrol,1300 cc,Automatic,Not Featured,PKR 40 lacs,Updated 1 day ago,https://cache2.pakwheels.com/ad_pictures/7952/tn_toyota-corolla-altis-1-8-grande-2019-79528829.webp
Toyota Corolla 2019 Altis Grande 1.8 for Sale,Karachi,2019,"55,881 km",Petrol,1800 cc,Automatic,Not Featured,PKR 52 lacs,Updated 1 day ago,https://cache1.pakwheels.com/ad_pictures/8009/tn_toyota-corolla-altis-1-6-automatic-2020-80098089.webp
Toyota Corolla 2020 Altis Automatic 1.6 for Sale,Karachi,2020,"35,567 km",Petrol,1600 cc,Automatic,FEATURED,PKR 47 lacs,,https://cache2.pakwheels.com/ad_pictures/8065/tn_toyota-corolla-gli-vvti-2010-80659773.webp
Toyota Corolla 2010 GLi 1.3 VVTi for Sale,Karachi,2010,"153,419 km",Petrol,1300 cc,Manual,FEATURED,PKR 19 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2019 GLi Automatic 1.3 VVTi for Sale,Karachi,2019,"117,154 km",Petrol,1300 cc,Automatic,FEATURED,PKR 39.5 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 9th Generation 2005 GLi 1.3 for Sale,Lahore,2005,"126,625 km",Petrol,1300 cc,Manual,FEATURED,PKR 16.5 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2017 Altis Automatic 1.6 for Sale,Lahore,2017,"78,145 km",Petrol,1600 cc,Automatic,FEATURED,PKR 40.5 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2019 Altis Automatic 1.6 for Sale,Karachi,2019,"65,000 km",Petrol,1600 cc,Automatic,FEATURED,PKR 44.5 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2010 Altis Cruisetronic 1.8 for Sale,Lahore,2010,"99,320 km",Petrol,1800 cc,Automatic,Not Featured,PKR 23 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2013 Altis Cruisetronic 1.6 for Sale,Karachi,2013,"170,000 km",Petrol,1600 cc,Automatic,Not Featured,PKR 26.75 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2023 Altis X Automatic 1.6 for Sale,Lahore,2023,10 km,Petrol,1598 cc,Automatic,Not Featured,PKR 70 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2019 XLi Automatic for Sale,Faisalabad,2019,"100,000 km",Petrol,1300 cc,Automatic,Not Featured,PKR 42 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 1999 XE for Sale,Mardan,1999,"200,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 12.1 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2017 Altis Grande CVT-i 1.8 for Sale,Gujranwala,2017,"6,500 km",Petrol,1800 cc,Automatic,Not Featured,PKR 45 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2021 Altis X Automatic 1.6 for Sale,Faisalabad,2021,"21,500 km",Petrol,1598 cc,Automatic,FEATURED,PKR 55 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2004 2.0D Saloon for Sale,Vehari,2004,"250,000 km",Diesel,2000 cc,Manual,Not Featured,PKR 15 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2012 GLi 1.3 VVTi for Sale,Quetta,2012,"12,345 km",Petrol,1300 cc,Manual,Not Featured,PKR 24 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2021 Altis X Automatic 1.6 for Sale,Gujranwala,2021,"16,000 km",Petrol,1600 cc,Automatic,Not Featured,PKR 56.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2020 Altis Automatic 1.6 for Sale,Jalalpur Jattan,2020,"35,000 km",Petrol,1600 cc,Automatic,Not Featured,PKR 55 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 1999 2.0D Limited for Sale,Gujrat,1999,"300,000 km",Diesel,2000 cc,Manual,Not Featured,PKR 8.8 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2003 for Sale,Malakand Agency,2003,"180,000 km",Petrol,1600 cc,Automatic,Not Featured,PKR 16.35 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 1999 2.0D Special Edition for Sale,Karachi,1999,1 km,Diesel,2000 cc,Manual,Not Featured,PKR 12.8 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2021 Altis X Automatic 1.6 for Sale,Lahore,2021,"17,300 km",Petrol,1598 cc,Automatic,Not Featured,PKR 59.85 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2014 GLi 1.3 VVTi Special Edition for Sale,Karachi,2014,"180,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 24.7 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2012 Altis SR Cruisetronic 1.6 for Sale,Islamabad,2012,"126,000 km",Petrol,1600 cc,Automatic,Not Featured,PKR 33.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla Indus 1999 2.0D Special Edition for Sale,Gujrat,1999,"2,000 km",Diesel,2000 cc,Manual,Not Featured,PKR 8.8 lacs,Updated about 6 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2023 Altis Grande X CVT-i 1.8 Black Interior for Sale,Lahore,2023,10 km,Petrol,1798 cc,Automatic,Not Featured,PKR 81.25 lacs,Updated about 6 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 9th Generation 2008 XLi for Sale,Multan,2008,"125,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 16.5 lacs,Updated about 6 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2016 Altis Grande CVT-i 1.8 for Sale,Quetta,2016,"49,000 km",Petrol,1800 cc,Automatic,FEATURED,PKR 42.5 lacs,Updated about 6 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2016 GLi Automatic 1.3 VVTi for Sale,Lahore,2016,"76,000 km",Petrol,1300 cc,Automatic,Not Featured,PKR 34.95 lacs,Updated about 6 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2019 XLi Automatic for Sale,Islamabad,2019,"35,000 km",Petrol,1300 cc,Automatic,FEATURED,PKR 42.75 lacs,Updated about 6 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2015 GLi Automatic 1.3 VVTi for Sale,Bahawalpur,2015,"120,000 km",Petrol,1300 cc,Automatic,Not Featured,PKR 30.5 lacs,Updated about 6 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2014 GLi 1.3 VVTi for Sale,Mandi bahauddin,2014,"130,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 24.5 lacs,Updated about 6 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2014 XLi VVTi for Sale,Islamabad,2014,"125,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 23.9 lacs,Updated about 6 hours ago,https://cache3.pakwheels.com/ad_pictures/7972/tn_toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2023-79720972.webp
Toyota Corolla 2022 Altis 1.6 X CVT-i for Sale,Gujrat,2022,"4,500 km",Petrol,1598 cc,Automatic,FEATURED,PKR 61 lacs,Updated about 6 hours ago,https://cache2.pakwheels.com/ad_pictures/8079/tn_toyota-corolla-1-6-cruisetronic-2011-80792005.webp
Toyota Corolla 2023 Altis Grande X CVT-i 1.8 Black Interior for Sale,Islamabad,2023,5 km,Petrol,1800 cc,Automatic,FEATURED,Call,Updated 1 day ago,https://cache3.pakwheels.com/ad_pictures/8082/tn_toyota-corolla-altis-x-automatic-1-6-2022-80825116.webp
Toyota Corolla 2011 Altis Cruisetronic 1.6 for Sale,Lahore,2011,"150,000 km",Petrol,1600 cc,Automatic,FEATURED,PKR 25 lacs,Updated 1 day ago,https://cache3.pakwheels.com/ad_pictures/8016/tn_toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2022-80164209.webp
Toyota Corolla 2022 Altis X Automatic 1.6 for Sale,Karachi,2022,"16,800 km",Petrol,1598 cc,Automatic,Not Featured,PKR 58 lacs,Updated 1 day ago,https://cache3.pakwheels.com/ad_pictures/8074/tn_toyota-corolla-gli-vvti-automatic-2014-80741814.webp
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,Karachi,2022,"12,000 km",Petrol,1800 cc,Automatic,FEATURED,PKR 75 lacs,Updated 1 day ago,https://cache3.pakwheels.com/ad_pictures/8038/tn_toyota-corolla-gli-vvti-2014-80384511.webp
Toyota Corolla 2014 GLi Automatic 1.3 VVTi for Sale,Lahore,2014,"104,066 km",Petrol,1300 cc,Automatic,FEATURED,PKR 32.75 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2014 GLi 1.3 VVTi for Sale,Lahore,2014,"82,000 km",Petrol,1300 cc,Manual,FEATURED,PKR 28.9 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2021 Altis 1.6 X CVT-i for Sale,Peshawar,2021,"21,000 km",Petrol,1600 cc,Automatic,Not Featured,PKR 61.5 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2001 X 1.3 for Sale,Islamabad,2001,"130,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 22.75 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,Islamabad,2022,"20,000 km",Petrol,1800 cc,Automatic,FEATURED,PKR 77 lacs,Updated 1 day ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2012 Altis Cruisetronic 1.6 for Sale,Karachi,2012,"81,000 km",Petrol,1600 cc,Automatic,FEATURED,PKR 29.75 lacs,Updated 2 days ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2020 Altis Grande CVT-i 1.8 for Sale,Karachi,2020,"37,000 km",Petrol,1800 cc,Automatic,FEATURED,PKR 59 lacs,Updated 2 days ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2004 XLi for Sale,Islamabad,2004,1 km,Petrol,1300 cc,Manual,FEATURED,PKR 16.35 lacs,Updated 2 days ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis 1.6 X CVT-i for Sale,Gujrat,2022,"4,500 km",Petrol,1598 cc,Automatic,FEATURED,PKR 61 lacs,Updated about 6 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla Fielder 2018 Hybrid for Sale,Peshawar,2018,"96,000 km",Petrol,1500 cc,Automatic,FEATURED,PKR 58.5 lacs,Updated about 6 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2010 GLi 1.3 VVTi for Sale,Karachi,2010,"148,358 km",Petrol,1300 cc,Manual,Not Featured,PKR 20 lacs,Updated about 6 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
